    CPU_1(%)   CPU_2(%)  CPU_3(%) CPU_4(%)
	 16.7 		 5.0		19.8		2.0
	 16.7 		 5.9		20.0		2.9
	 15.8 		 5.0		19.8		2.0
	 14.9 		 5.0		19.8		2.0
	 16.7 		 5.0		20.8		1.0
	 18.8 		 5.9		22.5		1.0
	 20.8 		 6.9		24.8		3.9
	 20.2 		 6.9		23.8		2.0
	 34.7 		 8.8		37.6		5.0
	 13.9 		 4.0		19.6		1.0
	 33.7 		 12.9		32.0		7.8
	 21.0 		 6.9		22.0		2.0
	 17.6 		 4.0		18.2		1.0
	 91.0 		 25.0		79.2		22.8
	 51.5 		 15.8		45.0		11.9
	 18.2 		 4.0		20.0		1.0
	 83.2 		 19.8		65.0		17.0
	 23.0 		 7.0		23.5		3.0
	 70.0 		 16.0		58.0		14.9
	 62.4 		 26.7		55.4		23.0
	 40.6 		 10.9		36.6		7.0
	 25.0 		 7.0		26.0		3.0
	 27.0 		 6.0		25.7		4.9
	 21.8 		 5.9		22.0		2.0
	 35.6 		 10.9		35.0		5.9
	 41.0 		 9.9		35.0		5.0
	 32.7 		 6.0		28.0		4.0
	 43.1 		 19.0		41.0		15.8
	 59.4 		 15.0		51.5		12.7
	 23.2 		 5.9		21.8		3.0
	 25.0 		 7.9		25.7		3.0
	 21.8 		 6.9		21.8		2.0
	 21.0 		 5.0		21.0		2.0
	 20.0 		 5.0		21.8		2.0
	 19.8 		 5.0		20.6		2.0
	 20.6 		 5.0		21.8		2.0
	 31.7 		 19.0		33.0		12.7
	 22.0 		 5.9		22.0		3.0
	 27.0 		 5.0		23.5		2.0
	 50.0 		 9.0		43.0		6.0
	 36.6 		 12.0		29.6		6.1
	 28.0 		 7.0		25.0		3.0
	 33.7 		 11.0		31.7		6.9
	 28.7 		 9.0		26.7		5.0
	 78.0 		 45.0		79.2		36.0
	 89.1 		 76.2		91.0		65.3
	 26.0 		 6.9		24.8		2.0
	 58.4 		 19.8		52.5		13.0
	 45.5 		 12.9		38.6		9.0
	 31.0 		 7.0		28.0		4.0
	 27.7 		 8.0		25.7		4.9
	 46.5 		 8.1		36.0		6.0
	 24.0 		 6.9		22.8		3.0
	 62.0 		 9.0		44.6		7.9
	 34.7 		 9.0		33.7		5.0
	 51.5 		 12.0		49.5		8.9
	 28.7 		 10.9		30.0		6.9
	 25.3 		 6.9		24.8		3.0
	 76.0 		 8.9		49.5		10.9
	 29.0 		 7.8		27.0		4.0
	 28.0 		 7.9		26.0		3.0
	 22.8 		 6.9		23.0		3.0
	 19.8 		 5.0		20.8		3.0
	 24.0 		 7.0		24.0		3.0
	 61.0 		 15.0		57.4		9.9
	 66.0 		 12.9		54.0		10.9
	 38.0 		 10.0		36.6		6.0
	 33.7 		 8.0		32.7		5.0
	 22.0 		 5.0		21.6		3.0
	 22.0 		 6.0		21.8		2.0
	 29.7 		 7.9		27.0		4.0
	 26.0 		 6.9		26.7		4.0
	 19.8 		 5.0		20.2		2.0
	 21.0 		 7.0		23.0		4.0
	 17.0 		 4.0		19.8		2.0
	 19.0 		 5.9		21.8		2.0
	 17.0 		 4.0		19.0		1.0
	 20.0 		 5.9		21.0		2.0
	 51.0 		 13.0		40.6		9.9
	 22.0 		 6.0		22.8		2.0
	 23.0 		 6.9		24.8		2.0
	 18.8 		 3.0		19.0		1.0
	 20.8 		 5.0		21.0		2.0
	 19.0 		 4.0		19.8		1.0
	 21.0 		 5.0		20.8		3.0
	 19.0 		 5.0		21.8		1.0
	 31.7 		 7.1		26.7		4.0
	 21.0 		 5.0		21.0		1.0
	 19.0 		 5.0		20.0		1.0
	 20.6 		 5.0		21.8		1.0
	 18.0 		 5.0		21.0		2.0
	 26.0 		 5.9		24.8		3.0
	 48.0 		 11.0		44.0		12.7
	 28.0 		 6.0		24.0		3.0
	 22.8 		 5.9		23.8		2.0
	 23.8 		 5.0		22.8		2.0
	 17.2 		 5.0		20.2		2.0
	 25.0 		 5.0		23.8		3.0
	 20.8 		 5.9		22.8		3.0
	 34.7 		 7.9		30.7		4.0
	 26.0 		 6.0		26.7		3.0
	 21.0 		 5.1		23.0		3.0
	 18.0 		 5.0		19.0		2.0
	 21.6 		 5.9		22.0		2.0
	 19.8 		 4.0		20.0		2.0
	 19.8 		 5.0		20.0		2.9
	 18.0 		 5.0		21.0		2.0
	 22.0 		 8.0		22.8		3.0
	 21.0 		 5.0		21.8		2.0
	 18.0 		 5.0		19.2		2.0
	 18.0 		 5.0		19.0		1.0
	 18.0 		 5.0		19.8		1.0
	 18.0 		 5.0		20.0		2.0
	 24.0 		 6.0		23.8		2.0
	 18.8 		 5.0		20.0		2.0
	 18.0 		 5.0		20.6		1.0
	 19.0 		 5.0		21.0		3.0
	 19.8 		 5.0		19.8		1.0
	 21.0 		 5.9		20.2		3.0
	 17.8 		 4.0		19.0		1.0
	 21.0 		 6.9		22.0		2.0
	 19.0 		 5.0		20.0		1.0
	 15.0 		 5.0		19.8		1.0
	 30.7 		 17.8		33.3		11.8
	 15.8 		 5.0		20.8		2.0
	 26.7 		 6.9		25.5		3.0
	 18.8 		 5.0		20.0		2.0
	 18.8 		 5.0		19.0		2.0
	 18.8 		 5.0		20.0		2.0
	 20.0 		 4.0		20.8		1.0
	 18.0 		 4.0		19.8		1.0
	 37.0 		 7.0		29.7		4.0
	 20.8 		 6.0		21.0		2.0
	 20.8 		 5.0		20.8		1.0
	 19.8 		 5.0		21.0		2.9
	 18.8 		 5.0		21.0		1.0
	 17.8 		 5.0		20.0		2.0
	 20.8 		 5.0		19.0		2.0
	 17.8 		 4.0		20.0		2.0
	 19.8 		 5.0		20.8		2.0
	 17.8 		 4.0		19.0		2.0
	 56.4 		 16.2		49.0		7.9
	 29.0 		 8.9		27.0		4.0
	 61.4 		 15.8		55.4		13.9
	 23.8 		 6.0		23.8		3.9
	 22.5 		 6.0		22.0		2.0
	 19.8 		 5.0		20.0		2.0
	 18.0 		 4.0		19.8		2.0
	 18.0 		 5.0		21.6		2.0
	 19.0 		 5.9		21.0		2.0
	 17.8 		 5.0		19.8		2.9
	 19.6 		 5.0		19.8		1.0
	 18.0 		 5.0		20.0		1.0
	 40.4 		 5.0		26.0		5.0
	 22.8 		 5.0		23.5		3.0
	 33.3 		 8.0		29.0		5.0
	 37.6 		 12.0		34.3		7.0
	 28.0 		 6.0		26.5		3.0
	 34.7 		 9.0		32.7		5.9
	 27.3 		 7.0		28.0		5.0
	 29.0 		 6.0		25.7		4.9
	 20.0 		 5.0		21.0		2.0
	 85.0 		 4.0		45.5		7.0
	 50.5 		 10.0		37.6		7.9
	 9.9 		 2.0		8.9		2.0
	 43.0 		 6.0		40.0		5.0
	 51.5 		 39.4		56.6		33.0
