    CPU_1(%)   CPU_2(%)  CPU_3(%) CPU_4(%)
	 15.7 		 4.0		12.9		1.0
	 15.8 		 4.0		13.9		1.0
	 14.9 		 5.0		14.0		1.0
	 18.8 		 4.0		14.0		2.0
	 35.0 		 12.9		30.0		7.9
	 53.0 		 13.1		45.0		10.1
	 18.8 		 5.0		15.0		3.0
	 16.0 		 4.0		14.0		2.0
	 15.8 		 4.0		12.1		2.0
	 15.8 		 3.0		12.0		2.0
	 86.1 		 33.7		77.2		30.7
	 22.0 		 6.9		18.2		3.0
	 15.8 		 5.0		14.0		2.0
	 16.2 		 5.0		15.7		1.0
	 15.8 		 4.9		13.9		1.0
	 13.1 		 4.0		12.0		1.0
	 17.8 		 5.0		14.0		3.0
	 14.9 		 4.0		13.9		1.0
	 14.9 		 3.0		13.0		2.0
	 14.7 		 3.0		12.9		0.0
	 12.9 		 3.0		12.0		1.0
	 22.0 		 5.0		17.0		3.0
	 74.3 		 11.0		51.0		13.0
	 21.8 		 5.0		15.0		3.0
	 28.0 		 7.0		23.8		3.0
	 23.8 		 6.0		20.8		4.0
	 18.8 		 5.0		16.7		2.0
	 49.0 		 11.0		36.0		8.0
	 18.0 		 5.0		15.0		2.0
	 18.0 		 5.0		15.8		2.0
	 22.0 		 5.0		16.8		2.0
	 33.0 		 9.9		32.7		6.1
	 19.0 		 5.0		16.2		2.0
	 19.8 		 6.9		17.2		3.0
	 17.8 		 5.0		15.0		2.0
	 17.8 		 5.0		14.9		3.0
	 23.8 		 5.0		16.0		2.0
	 17.0 		 4.0		13.1		2.0
	 16.0 		 3.0		13.0		2.0
	 18.0 		 5.0		15.0		1.0
	 21.8 		 7.9		18.2		4.0
	 24.2 		 5.0		20.0		3.0
	 18.0 		 5.0		16.0		2.0
	 15.8 		 4.0		14.9		2.0
	 27.0 		 4.0		23.8		2.0
	 23.8 		 5.1		20.8		3.0
	 20.0 		 7.1		19.0		4.0
	 15.8 		 4.0		15.0		1.0
	 21.8 		 4.0		19.0		2.0
	 18.0 		 5.0		16.0		2.0
	 15.8 		 4.0		15.0		1.0
	 16.8 		 4.0		15.2		2.0
	 15.0 		 4.0		16.7		1.0
	 17.8 		 4.0		16.0		2.0
	 35.6 		 6.9		31.7		5.0
	 34.7 		 8.8		25.7		4.0
	 32.0 		 6.1		23.0		5.0
	 30.0 		 6.0		21.8		3.0
	 30.3 		 6.0		23.0		2.0
	 31.0 		 7.0		23.8		3.0
	 53.9 		 22.0		47.5		13.9
	 34.7 		 7.9		24.0		3.0
	 32.7 		 7.8		20.0		4.0
	 32.0 		 7.8		24.8		4.0
	 38.6 		 8.0		27.3		5.9
	 37.0 		 8.1		25.0		4.0
	 32.0 		 7.9		23.5		3.0
	 33.0 		 6.9		23.0		3.0
	 39.6 		 10.9		31.0		7.9
	 31.3 		 7.9		22.0		3.0
	 31.0 		 7.0		21.0		2.0
	 29.0 		 6.0		20.8		2.0
	 31.0 		 6.1		23.8		3.0
	 30.7 		 6.0		21.8		2.0
	 32.7 		 7.9		22.0		3.0
	 32.0 		 7.9		22.0		4.0
	 31.7 		 7.8		22.8		3.0
	 33.0 		 6.0		21.8		2.0
	 32.0 		 7.8		23.0		2.0
	 32.0 		 7.8		22.2		3.0
	 31.7 		 6.9		22.0		3.0
	 30.7 		 8.8		20.0		2.0
	 53.5 		 17.6		43.0		9.9
	 30.3 		 7.0		22.8		2.0
	 39.6 		 8.9		30.0		6.9
	 25.7 		 5.9		21.8		4.0
	 35.0 		 7.9		25.0		4.0
	 50.0 		 15.7		45.5		9.9
	 48.0 		 13.0		42.0		10.9
	 38.0 		 8.0		32.0		6.0
	 42.0 		 10.0		33.0		7.9
	 37.3 		 9.8		31.7		6.0
	 35.6 		 9.0		30.7		5.9
	 39.0 		 10.0		33.7		6.9
	 43.0 		 12.0		39.2		8.9
	 40.0 		 9.0		33.0		6.0
	 96.0 		 54.0		97.0		43.6
	 43.6 		 15.8		39.0		11.9
	 36.6 		 10.0		31.0		5.0
	 40.6 		 9.0		33.3		7.0
	 39.6 		 9.8		32.7		5.0
	 41.0 		 10.8		34.0		6.9
	 36.4 		 6.0		29.7		5.9
	 40.6 		 9.0		34.7		7.0
	 43.6 		 11.1		38.4		8.0
	 38.6 		 8.8		32.0		6.9
	 38.0 		 9.0		34.0		6.0
	 38.6 		 8.1		31.7		5.9
	 42.0 		 11.0		37.0		7.9
	 44.0 		 11.9		37.6		9.0
	 38.6 		 9.0		33.0		6.0
	 41.0 		 9.1		37.6		7.0
	 49.5 		 15.2		42.0		12.9
	 54.5 		 17.0		50.0		13.0
	 43.6 		 9.0		34.7		7.9
	 42.6 		 11.0		37.0		8.9
	 44.0 		 11.9		37.0		8.9
	 38.6 		 8.0		33.0		6.9
	 37.6 		 11.0		33.3		7.0
	 45.5 		 12.0		40.0		7.9
	 38.0 		 8.0		33.0		6.9
	 42.6 		 10.9		34.0		7.9
	 40.0 		 11.9		33.0		8.8
	 71.3 		 15.8		64.0		15.0
	 29.0 		 5.1		25.7		3.0
	 36.0 		 7.9		29.0		4.0
	 37.3 		 8.0		29.0		5.9
	 36.6 		 9.0		30.0		6.0
	 40.4 		 10.0		32.7		5.0
	 59.4 		 15.0		52.0		11.9
	 42.0 		 10.0		35.6		7.0
	 36.0 		 7.9		30.0		5.0
	 31.7 		 6.0		28.0		3.0
	 45.0 		 21.8		42.6		16.0
	 61.0 		 13.9		53.0		11.9
	 45.5 		 13.9		40.6		8.1
	 33.3 		 7.8		28.0		4.0
